Class,Desc,Type
10,maternity belts,specific
10,orthopaedic belts / orthopedic belts,specific
10,dentists' armchairs,specific
10,castrating pincers,specific
10,"heating cushions, electric, for medical purposes / heating pads, electric, for medical purposes",specific
10,orthopaedic footwear / orthopedic footwear,specific
10,artificial teeth,specific
10,surgical sponges,specific
10,surgical apparatus and instruments,specific
10,instrument cases for use by doctors,specific
10,"thread, surgical",specific
10,anaesthetic apparatus,specific
10,scissors for surgery,specific
10,thermo-electric compresses [surgery],specific
10,compressors [surgical],specific
10,droppers for medical purposes,specific
10,corn knives,specific
10,esthetic massage apparatus,specific
10,cushions for medical purposes,specific
10,surgical cutlery,specific
10,incubators for medical purposes,specific
10,spoons for administering medicine,specific
10,tongue scrapers,specific
10,ear picks,specific
10,dental burs,specific
10,dental apparatus and instruments,specific
10,pins for artificial teeth,specific
10,dentures / sets of artificial teeth,specific
10,lancets,specific
10,mirrors for dentists,specific
10,fingerstalls for medical purposes / finger guards for medical purposes,specific
10,syringes for injections,specific
10,drainage tubes for medical purposes,specific
10,water bags for medical purposes,specific
10,radiology screens for medical purposes,specific
10,electrocardiographs,specific
10,probes for medical purposes,specific
10,pumps for medical purposes,specific
10,blood testing apparatus,specific
10,armchairs for medical or dental purposes,specific
10,dropper bottles for medical purposes,specific
10,forceps,specific
10,galvanic therapeutic appliances,specific
10,gloves for massage,specific
10,gastroscopes,specific
10,ice bags for medical purposes,specific
10,haemocytometers / hemocytometers,specific
10,waterbeds for medical purposes,specific
10,hypodermic syringes,specific
10,abdominal pads,specific
10,inhalers,specific
10,injectors for medical purposes,specific
10,soporific pillows for insomnia,specific
10,urological apparatus and instruments,specific
10,insufflators,specific
10,enema apparatus for medical purposes,specific
10,ultraviolet ray lamps for medical purposes,specific
10,lasers for medical purposes,specific
10,breast pumps,specific
10,lamps for medical purposes,specific
10,vaporizers for medical purposes,specific
10,urinals being vessels,specific
10,artificial jaws,specific
10,anaesthetic masks,specific
10,massage apparatus,specific
10,medical apparatus and instruments,specific
10,receptacles for applying medicines,specific
10,cases fitted for medical instruments,specific
10,artificial limbs,specific
10,mirrors for surgeons,specific
10,furniture especially made for medical purposes,specific
10,obstetric apparatus,specific
10,umbilical belts,specific
10,keratometers / ophthalmometers,specific
10,ophthalmoscopes,specific
10,hearing protectors,specific
10,artificial skin for surgical purposes,specific
10,tips for crutches,specific
10,balling guns / bolus guns,specific
10,condoms,specific
10,sphygmotensiometers / arterial blood pressure measuring apparatus / sphygmomanometers,specific
10,quartz lamps for medical purposes,specific
10,"apparatus and installations for the production of X-rays, for medical purposes",specific
10,X-ray photographs for medical purposes,specific
10,radiological apparatus for medical purposes,specific
10,radiotherapy apparatus,specific
10,resuscitation apparatus,specific
10,X-ray tubes for medical purposes,specific
10,"protection devices against X-rays, for medical purposes",specific
10,respirators for artificial respiration,specific
10,apparatus for artificial respiration,specific
10,saws for surgical purposes,specific
10,artificial breasts,specific
10,uterine syringes,specific
10,vaginal syringes,specific
10,stethoscopes,specific
10,dummies for babies / pacifiers for babies,specific
10,supports for flat feet,specific
10,apparatus for the treatment of deafness,specific
10,suspensory bandages,specific
10,suture materials,specific
10,operating tables,specific
10,trocars,specific
10,urethral probes,specific
10,urethral syringes,specific
10,cupping glasses,specific
10,veterinary apparatus and instruments,specific
10,bed vibrators,specific
10,vibromassage apparatus,specific
10,artificial eyes,specific
10,air pillows for medical purposes,specific
10,air cushions for medical purposes,specific
10,air mattresses for medical purposes,specific
10,syringes for medical purposes,specific
10,elastic stockings for surgical purposes,specific
10,stockings for varices,specific
10,crutches,specific
10,feeding bottle valves,specific
10,feeding bottle teats,specific
10,orthopaedic soles / orthopedic soles,specific
10,"sterile sheets, surgical",specific
10,beds specially made for medical purposes,specific
10,electrodes for medical use,specific
